"__mclCluster","EnrichmentMap::Colouring (Data Set 1)","EnrichmentMap::ES (Data Set 1)","EnrichmentMap::fdr_qvalue (Data Set 1)","EnrichmentMap::fwer_qvalue (Data Set 1)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (Data Set 1)","EnrichmentMap::pvalue (Data Set 1)","name","selected","shared name","wordcloud.sync"
"14","1.0",,"8.43E-17",,"RANBP9|ERCC1|NFE2L3|MAP2K5|MAPK12|EIF5|ABCD1|TNFRSF10A|HGF|WASL|SETX|MED31|CCL1|DUSP3|NR3C1|ENO1|HOXB7|GHSR|PTGIS|EREG|YWHAH|MKNK2|SLC27A1|RARA|SERPINF1|VHL|GDF11|IREB2|SLC40A1|TAOK1|PSMB1|TRAF4|SPTBN4|BIRC3|EPAS1|CBL|CD80|IL18RAP|MECOM|NBN|SMARCA2|IQGAP1|IRF8|TP53|MEF2D|ACKR3|LIMD1|SETD7|FGF18|SLC7A11|MYCN|NBAS|PDE3B|NIPBL|APP|GNAQ|BAG4|ZSCAN21|ADCY9|PROK2|WNK2|WDFY2|AVPR1A|HSP90B1|WNT10B|LIN37|UBTF|TMED10|HIST1H2AE|INSR|HIPK3|HINT1|PRKCB|ZNF3|ING2|EIF2AK3|WDR48|CLOCK|KLF7|RSF1|DAB2|NOC2L|NCL|DSCC1|CRTAP|PSEN1|POU3F2|SOCS1|RPS6KA4|ATF4|IL17F|EBAG9|ZBTB16|MTDH|CCDC88A|HIST1H1C|TSLP|TRIM24|MEF2C|PTK2|STAT5A|JARID2|OAS2|SP100|USP1|SH2B3|MEF2A|OCLN|MKL1|UVRAG|MYLIP|SFPQ|ELK4|CASS4|CLIP3|AKAP13|QKI|DISC1|FGFR1OP|PFKFB2|NR5A2|TPR|IL6R|ME1|AHCYL1|NFKB2|MTM1|RUNX2|VAV2|PTEN|NCOA3|YBX1|PIM1|RBL1|AR|TP53INP2|PLA2G5|ZBTB17|STK24|KLF5|LGR4|TRIM6|PIR|NKX3-1|CDX2|IL6ST|JAK2|TP53BP1|TNFRSF19|PPP2R3B|SNX9|PDGFD|BANP|PICALM|NUPR1|CAST|TAX1BP1|IRF9|KAT6A|PRMT2|CST3|TMF1|POLR3G|ASXL2|SLC8A1|PPARA|FGFR1|SMARCA4|NFIC|L3MBTL1|PHF21A|BMPR1B|ACTA2|PAX6|TRPV4|HDAC9|CISH|MUC20|DUSP7|ZMYND8|DP2|ERBB2IP|TOB1|POU2F2|CREBZF|FLI1|MAML2|BCLAF1|KMT2A|TET2|CELF2|APAF1|ITGB3|TRAF3|TNFRSF11A|KANK2|PPP1R9B|ITCH|CPEB3|CD24|PCOLCE2|EBF1|PBX3|BHLHE41|HES4","regulation of primary metabolic process","205","ENR","GO:0080090","1.607417242537526","1.49E-19","GO:0080090","false","GO:0080090","false"
"121","0.9999564",,"0.0023",,"PAX6|RANBP9|MAP2K5|SH2B3|BIRC3|HIPK3|OCLN|DUSP7|CBL|MECOM|EIF2AK3|TOB1|HGF|TP53|DUSP3|NOC2L|NCL|BANP|FGFR1OP|PICALM|CAST|TPR|ITGB3|CRTAP|PSEN1|SOCS1|PPP1R9B|CST3|ITCH|APP|MTM1|GNAQ|RARA|CPEB3|SERPINF1|ATF4|SLC8A1|IREB2|PTEN|WNK2|YBX1|JARID2","negative regulation of protein metabolic process","42","ENR","GO:0051248","0.2638272163982407","4.36E-5","GO:0051248","false","GO:0051248","false"
"5","0.9999999644",,"3.73E-6",,"RANBP9|ERCC1|NFE2L3|MAP2K5|CETP|MAPK12|CTSG|EIF5|ABCD1|MMP15|HGF|TWISTNB|CEP41|SETX|MED31|DUSP3|NR3C1|NKTR|ENO1|ELL2|PTGIS|EREG|THOC2|YWHAH|MKNK2|SLC27A1|RARA|VHL|ARF3|IREB2|BLK|HS6ST1|TAOK1|PSMB1|TRAF4|IMPAD1|RAB2A|ST3GAL3|SPTBN4|BIRC3|TAF1B|EPAS1|AKT3|CBL|IL18RAP|MECOM|NBN|SLC27A2|TP53|ACKR3|SETD7|SRD5A1|FGF18|SLC7A11|NBAS|USP12|NIPBL|DGKE|APP|HK2|ADCY9|WNK2|IDH3A|HSP90B1|WNT10B|AXL|RNASE6|UBTF|INSR|HIPK3|HINT1|PRKCB|EIF2AK3|WDR48|CLOCK|PTPN7|INTS6|RSF1|GGA2|ANGPT2|BACE1|CAMK2G|SNAPC5|DSCC1|FAM20C|CRTAP|ZNRF2|PSEN1|SOCS1|FANCF|RPS6KA4|RFTN1|ATF4|IL17F|ZBTB16|CCDC88A|HIST1H1C|LIMK2|TRIM24|MEF2C|PTK2|STAT5A|JARID2|OAS2|SP100|USP1|GPT2|MEF2A|UVRAG|ACOX3|MYLIP|PTRF|SFPQ|ELK4|GAD1|MYLK|CLIP3|AKAP13|SMC3|SMC5|QKI|PSEN2|PFKFB2|NR5A2|TPR|PHGDH|HIPK1|ME1|AHCYL1|MTM1|GBP5|GOT1|GPC4|SRSF11|RUNX2|COL5A1|PTEN|NCOA3|YBX1|PGK1|RBBP4|PIM1|AR|TP53INP2|PLA2G5|OMD|STK24|PLCB4|PRKD3|TRIM6|PIR|COL2A1|PDE4A|CDX2|IL6ST|JAK2|TP53BP1|MTMR12|TNFRSF19|PPP2R3B|PLD4|PICALM|NUPR1|IRF9|KAT6A|PRMT2|CST3|TMF1|POLR3G|UBE2J2|ASXL2|RASGRP3|HPSE|PPARA|FGFR1|SMARCA4|NFIC|BMPR1B|PAX6|HDAC9|CISH|MUC20|TGFBI|DUSP7|RPL37A|DAPP1|MIB2|POU2F2|SPTBN2|MAML2|KMT2A|COPS7A|TET2|CELF2|ENSP00000452245|TRAF3|PTPRM|IKBKE|RAD51D|PPP1R9B|ITCH|ST3GAL6|CPEB3|PTPN9|DCAF7|LIG4","organic substance metabolic process","206","ENR","GO:0071704","0.5428291168191313","3.56E-8","GO:0071704","false","GO:0071704","false"
"5","0.999999778",,"1.96E-5",,"RANBP9|ERCC1|NFE2L3|MAP2K5|CETP|MAPK12|CTSG|EIF5|ABCD1|MMP15|HGF|TWISTNB|CEP41|SETX|MED31|DUSP3|NR3C1|NKTR|ENO1|ELL2|PTGIS|EREG|THOC2|YWHAH|MKNK2|SLC27A1|RARA|VHL|ARF3|IREB2|BLK|HS6ST1|TAOK1|PSMB1|TRAF4|IMPAD1|RAB2A|ST3GAL3|SPTBN4|BIRC3|TAF1B|EPAS1|AKT3|CBL|MECOM|NBN|SLC27A2|TP53|SETD7|SRD5A1|FGF18|NBAS|USP12|NIPBL|DGKE|APP|HK2|ADCY9|WNK2|IDH3A|HSP90B1|WNT10B|AXL|RNASE6|UBTF|INSR|HIPK3|HINT1|PRKCB|EIF2AK3|WDR48|CLOCK|PTPN7|INTS6|RSF1|GGA2|BACE1|CAMK2G|SNAPC5|DSCC1|FAM20C|CRTAP|ZNRF2|PSEN1|SOCS1|FANCF|RPS6KA4|ATF4|IL17F|ZBTB16|HIST1H1C|LIMK2|TRIM24|MEF2C|PTK2|JARID2|OAS2|SP100|USP1|GPT2|MEF2A|UVRAG|ACOX3|MYLIP|PTRF|SFPQ|ELK4|GAD1|MYLK|CLIP3|AKAP13|SMC3|SMC5|QKI|PSEN2|PFKFB2|NR5A2|TPR|PHGDH|HIPK1|ME1|AHCYL1|MTM1|GOT1|GPC4|SRSF11|RUNX2|PTEN|NCOA3|YBX1|PGK1|PIM1|AR|TP53INP2|PLA2G5|STK24|PLCB4|PRKD3|TRIM6|PIR|COL2A1|PDE4A|CDX2|IL6ST|JAK2|TP53BP1|MTMR12|TNFRSF19|PPP2R3B|PLD4|NUPR1|IRF9|KAT6A|PRMT2|CST3|TMF1|POLR3G|UBE2J2|ASXL2|RASGRP3|HPSE|PPARA|FGFR1|SMARCA4|NFIC|BMPR1B|PAX6|HDAC9|CISH|MUC20|TGFBI|DUSP7|RPL37A|DAPP1|MIB2|POU2F2|SPTBN2|MAML2|KMT2A|COPS7A|TET2|CELF2|ENSP00000452245|TRAF3|PTPRM|IKBKE|RAD51D|PPP1R9B|ITCH|ST3GAL6|CPEB3|PTPN9|DCAF7|LIG4","primary metabolic process","194","ENR","GO:0044238","0.47077439286435235","2.22E-7","GO:0044238","false","GO:0044238","false"
"5","0.99999999348",,"7.51E-7",,"RANBP9|ERCC1|NFE2L3|MAP2K5|CETP|MAPK12|CTSG|EIF5|ABCD1|MMP15|HGF|TWISTNB|CEP41|SETX|MED31|DUSP3|NR3C1|NKTR|ENO1|ELL2|PTGIS|EREG|THOC2|MKNK2|SLC27A1|RARA|VHL|ARF3|IREB2|BLK|HS6ST1|TAOK1|PSMB1|TRAF4|IMPAD1|RAB2A|ST3GAL3|SPTBN4|BIRC3|TAF1B|EPAS1|AKT3|CBL|MECOM|NBN|GABARAPL1|SLC27A2|IRF8|TP53|ACKR3|LIMD1|SETD7|SRD5A1|FGF18|SLC7A11|NBAS|USP12|NIPBL|DGKE|APP|HK2|ADCY9|WNK2|AVPR1A|IDH3A|HSP90B1|AXL|RNASE6|UBTF|INSR|HIPK3|HINT1|PRKCB|EIF2AK3|WDR48|CLOCK|PTPN7|INTS6|RSF1|GGA2|BACE1|CAMK2G|SNAPC5|DSCC1|FAM20C|CRTAP|ZNRF2|PSEN1|SOCS1|FANCF|RPS6KA4|ATF4|ZBTB16|CCDC88A|HIST1H1C|LIMK2|TRIM24|MEF2C|PTK2|STAT5A|JARID2|OAS2|SP100|USP1|GPT2|MEF2A|UVRAG|ACOX3|MYLIP|PTRF|SFPQ|ELK4|GAD1|MYLK|CLIP3|AKAP13|SMC3|SMC5|QKI|PSEN2|PFKFB2|NR5A2|TPR|PHGDH|HIPK1|ME1|AHCYL1|MTM1|GOT1|GPC4|SRSF11|RUNX2|PREX1|PTEN|NCOA3|YBX1|PGK1|RBBP4|PIM1|AR|TP53INP2|PLA2G5|OMD|STK24|PLCB4|PRKD3|TRIM6|PIR|COL2A1|PDE4A|CDX2|IL6ST|JAK2|TP53BP1|MTMR12|TNFRSF19|PPP2R3B|PLD4|PICALM|NUPR1|IRF9|KAT6A|PRMT2|CST3|TMF1|POLR3G|UBE2J2|ASXL2|RASGRP3|HPSE|PPARA|NDUFS1|FGFR1|SMARCA4|NFIC|BMPR1B|PAX6|HDAC9|CISH|MUC20|TGFBI|DUSP7|RPL37A|DAPP1|MIB2|POU2F2|SPTBN2|MAML2|KMT2A|COPS7A|TET2|CELF2|ENSP00000452245|TRAF3|PTPRM|IKBKE|RAD51D|PPP1R9B|ITCH|ST3GAL6|CPEB3|PTPN9|DCAF7|LIG4","cellular metabolic process","204","ENR","GO:0044237","0.6124360062995832","6.52E-9","GO:0044237","false","GO:0044237","false"
"2","0.99999999985",,"2.2E-8",,"WNT10B|LIN37|AR|NFE2L3|MAP2K5|HIST1H2AE|KLF5|LGR4|TRIM6|NKX3-1|CLOCK|CDX2|KLF7|RSF1|DAB2|NOC2L|NR3C1|ENO1|KAT6A|EREG|PSEN1|PRMT2|RARA|ATF4|VHL|ZBTB16|MTDH|PPARA|HIST1H1C|FGFR1|TRIM24|SMARCA4|MEF2C|NFIC|L3MBTL1|JARID2|PHF21A|SP100|PAX6|TRPV4|HDAC9|MEF2A|ZMYND8|DP2|MECOM|SFPQ|SMARCA2|ELK4|TOB1|IRF8|TP53|CREBZF|BCLAF1|LIMD1|TPR|NBAS|KANK2|NIPBL|NFKB2|APP|CPEB3|RUNX2|BHLHE41|YBX1|HES4|RBL1","negative regulation of RNA metabolic process","66","ENR","GO:0051253","0.7657577319177793","1.5E-10","GO:0051253","false","GO:0051253","false"
,"0.9999448",,"0.0028",,"PFKFB2|NUPR1|ENO1|TPR|PPARA|TP53|INSR|PSEN1|PGK1|APP|ABCD1","regulation of ATP metabolic process","11","ENR","GO:1903578","0.2552841968657781","5.52E-5","GO:1903578","false","GO:1903578","false"
"6","0.9999999999999998",,"9.85E-14",,"WNT10B|AR|ERCC1|TP53INP2|NFE2L3|MAP2K5|UBTF|ZBTB17|INSR|KLF5|PRKCB|LGR4|ING2|EIF2AK3|NKX3-1|CLOCK|CDX2|HGF|KLF7|TP53BP1|WASL|RSF1|SETX|DAB2|NCL|BANP|PICALM|NR3C1|NUPR1|HOXB7|KAT6A|PSEN1|PRMT2|POU3F2|YWHAH|RPS6KA4|RARA|ATF4|ASXL2|IL17F|VHL|ZBTB16|MTDH|PPARA|HIST1H1C|TRIM24|SMARCA4|SLC40A1|MEF2C|NFIC|STAT5A|BMPR1B|SP100|ACTA2|PAX6|MEF2A|EPAS1|MKL1|CD80|DP2|MECOM|SFPQ|SMARCA2|ELK4|TOB1|POU2F2|IRF8|TP53|FLI1|MEF2D|MAML2|BCLAF1|KMT2A|SETD7|TET2|NR5A2|MYCN|NIPBL|NFKB2|APP|CPEB3|ZSCAN21|RUNX2|EBF1|PBX3|NCOA3|YBX1|PIM1|RBL1","positive regulation of RNA metabolic process","89","ENR","GO:0051254","1.3006563769502388","2.7E-16","GO:0051254","false","GO:0051254","false"
"22","0.99978",,"0.0096",,"AR|ERCC1|NFE2L3|RNASE6|UBTF|HIPK3|HINT1|PIR|ABCD1|PDE4A|WDR48|CDX2|TWISTNB|INTS6|TP53BP1|RSF1|SETX|MED31|PLD4|NR3C1|SNAPC5|ENO1|ELL2|IRF9|PTGIS|EREG|THOC2|FANCF|TMF1|POLR3G|RARA|ATF4|ASXL2|PPARA|TRIM24|SMARCA4|NFIC|TAOK1|OAS2|IMPAD1|SP100|PAX6|USP1|MEF2A|TAF1B|EPAS1|RPL37A|UVRAG|PTRF|NBN|SFPQ|POU2F2|TP53|SMC3|MAML2|SMC5|QKI|COPS7A|TET2|CELF2|PFKFB2|NR5A2|ENSP00000452245|NBAS|RAD51D|NIPBL|ME1|PPP1R9B|AHCYL1|APP|HK2|SRSF11|RUNX2|ADCY9|LIG4|PTEN|YBX1|PGK1","nucleobase-containing compound metabolic process","78","ENR","GO:0006139","0.20177287669604316","2.2E-4","GO:0006139","false","GO:0006139","false"
"3","0.99999999999026",,"1.85E-9",,"AR|ERCC1|TP53INP2|NFE2L3|MAP2K5|ZBTB17|KLF5|LGR4|TRIM6|PIR|NKX3-1|CDX2|HGF|JAK2|TP53BP1|WASL|SETX|MED31|BANP|PICALM|NR3C1|NUPR1|ENO1|TAX1BP1|HOXB7|IRF9|PTGIS|KAT6A|EREG|PRMT2|YWHAH|TMF1|POLR3G|RARA|ASXL2|VHL|PPARA|FGFR1|SMARCA4|SLC40A1|NFIC|PSMB1|L3MBTL1|PHF21A|BMPR1B|ACTA2|PAX6|TRPV4|HDAC9|EPAS1|ZMYND8|CD80|IL18RAP|DP2|MECOM|SMARCA2|ERBB2IP|TOB1|POU2F2|IRF8|TP53|CREBZF|FLI1|MEF2D|MAML2|BCLAF1|KMT2A|LIMD1|SETD7|TET2|CELF2|TRAF3|MYCN|NBAS|TNFRSF11A|KANK2|NIPBL|ITCH|APP|CPEB3|ZSCAN21|EBF1|PBX3|BHLHE41|HES4|WNT10B|LIN37|UBTF|HIST1H2AE|INSR|HINT1|PRKCB|ZNF3|ING2|EIF2AK3|CLOCK|KLF7|RSF1|DAB2|NOC2L|NCL|PSEN1|POU3F2|RPS6KA4|ATF4|IL17F|ZBTB16|MTDH|HIST1H1C|TRIM24|MEF2C|STAT5A|JARID2|OAS2|SP100|MEF2A|MKL1|SFPQ|ELK4|QKI|NR5A2|TPR|AHCYL1|NFKB2|RUNX2|PTEN|NCOA3|YBX1|PIM1|RBL1","regulation of RNA metabolic process","130","ENR","GO:0051252","0.8732828271596986","9.74E-12","GO:0051252","false","GO:0051252","false"
