from	to	confidence	Tf_Regulation	PPI_Annotation	Direction_PPI	Score_PPI	Cleaned_PPI_annotation
ABCD1	SLC27A2		0	predicted	-	0.64	predicted
ACKR3	CCL1		0	predicted	-	0.54	predicted
ACKR3	CCR2		0	predicted	-	0.97	predicted
ACKR3	GNAI1		0	complex; input	-	1	PPrel
ACOX3	PPARA		0	GErel: expression by	<-	1	GErel
ACTA2	CALD1		0	complex	-	1	PPrel
ACTA2	ITGB5		0	complex	-	1	PPrel
ACTA2	MMP15		0	catalyzed by	<-	1	PPrel
ACTA2	MYH11		0	PPrel: binding/association; PPrel: dissociation; catalyzed by; complex; input	<-	1	PPrel
ACTA2	MYH13		0	complex; input	-	1	PPrel
ACTA2	MYL10		0	catalyzed by; complex; input	<-	1	PPrel
ACTA2	MYL12A		0	catalyzed by; complex; input	<-	1	PPrel
ACTA2	MYL9		0	PPrel: binding/association; PPrel: dissociation; catalyzed by; complex; input	<-	1	PPrel
ACTA2	MYLK		0	predicted	-	0.59	predicted
ACTA2	TAGLN		0	predicted	-	0.97	predicted
ACTA2	TP53		0	predicted	-	0.64	predicted
ACTA2	VCL		0	complex	-	1	PPrel
ADCY9	AKT3		0	PPrel: activated by	<-	1	PPrel
ADCY9	CAMK2G		0	PPrel: inhibited by	|-	1	PPrel
ADCY9	GNAI1		0	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1	ECrel
ADCY9	GNG8		0	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by	-	1	PPrel
ADCY9	PRKCB		0	PPrel: activated by	<-	1	PPrel
AHCYL1	ITPR1		0	complex; input; reaction	-	1	ECrel
AHCYL1	ITPR2		0	complex; input; reaction	-	1	ECrel
AKAP13	RHOB		0	catalyze	->	1	PPrel
AKT3	ATF4		0	PPrel: activation, phosphorylation	->	1	PPrel
AKT3	BIRC3		0	PPrel: activation, indirect effect	->	1	PPrel
AKT3	FGFR1		0	catalyzed by	<-	1	PPrel
AKT3	GAB3		0	catalyzed by	<-	1	PPrel
AKT3	GNRH1		0	PPrel	-	1	PPrel
AKT3	HSP90B1		0	PPrel: activated by	<-	1	PPrel
AKT3	MAPK12		0	PPrel: inhibited by	|-	1	PPrel
AKT3	PDE3B		0	PPrel: activation; PPrel: activation, phosphorylation	->	1	PPrel
AKT3	PFKFB2		0	PPrel: activation, phosphorylation	->	1	PPrel
AKT3	PPP2R3B		0	PPrel: inhibited by; PPrel: inhibited by, dephosphorylation	|-	1	PPrel
AKT3	PTK2		0	PPrel: activated, indirect effect	<-	1	PPrel
