Gene	logFC	P.Value	nes	pval	Eigen_centrality	Eigen_directed_centrality	Eigen_reverse_centrality	Page_rank	page_rank_directed	Page_rank_reverse	TF
-	0.392835117569957	0.0479539806077104	0	1	0	0	0	0	0	0	FALSE
A1BG	0.0309927931319209	0.780212934414675	0	1	0	0	0	0	0	0	FALSE
A1BG-AS1	-0.215828666216938	0.457370823341888	0	1	0	0	0	0	0	0	FALSE
A1CF	0.0720874975268213	0.489542888561629	0	1	0	0	0	0	0	0	FALSE
A2M	0.0824361598826426	0.490293742933017	0	1	0	0	0	0	0	0	FALSE
A2M-AS1	0.180429758430808	0.0665342201439447	0	1	0	0	0	0	0	0	FALSE
A2ML1	-0.100993616116845	0.680546603947328	0	1	0	0	0	0	0	0	FALSE
A2MP1	0.0516820088571799	0.848582345008706	0	1	0	0	0	0	0	0	FALSE
A4GALT	-0.0801517312289566	0.705737816745464	0	1	0	0	0	0	0	0	FALSE
A4GNT	-0.134522480541104	0.197604133260675	0	1	0	0	0	0	0	0	FALSE
AA06	-0.0503180634651229	0.777959045348081	0	1	0	0	0	0	0	0	FALSE
AAAS	0.0364134733857573	0.842013440482474	0	1	0	0	0	0	0	0	FALSE
AACS	0.0224666974618606	0.941191301343174	0	1	0	0	0	0	0	0	FALSE
AACSP1	0.0915720403029745	0.267879048221038	0	1	0	0	0	0	0	0	FALSE
AADAC	-0.356646602901783	0.309144628113626	0	1	0	0	0	0	0	0	FALSE
AADACL2	0.67470688999385	0.00117456123384568	0	1	0	0	0	0	0	0	FALSE
AADACP1	-0.823587581261387	0.190234898544897	0	1	0	0	0	0	0	0	FALSE
AADAT	-0.271082371188272	0.0370369077619042	0	1	0	0	0	0	0	0	FALSE
AAED1	-0.0235054333591261	0.885806342282922	0	1	0	0	0	0	0	0	FALSE
AAGAB	0.387805676903614	0.000154514534973666	0	1	0	0	0	0	0	0	FALSE
AAK1	0.143774330834613	0.0230053171019036	0	1	0	0	0	0	0	0	FALSE
AAMDC	-0.107650092901494	0.156501943288162	0	1	0	0	0	0	0	0	FALSE
AAMP	-0.132706455714507	0.265811383092622	0	1	0	0	0	0	0	0	FALSE
AANAT	0.00543155799462713	0.936801158198613	0	1	0	0	0	0	0	0	FALSE
AAR2	-0.217722487956846	0.0177312794690725	0	1	0	0	0	0	0	0	FALSE
AARS	0.152823427178943	0.00122746501576634	0	1	0	0	0	0	0	0	FALSE
AARS2	-0.00246825290767028	0.99074370902243	0	1	0	0	0	0	0	0	FALSE
AASDH	0.255973051473226	0.00404031472113095	0	1	0	0	0	0	0	0	FALSE
AASDHPPT	0.412547742459194	0.00443492301772502	0	1	0	0	0	0	0	0	FALSE
AASS	0.0208573125763261	0.81315624799534	0	1	0	0	0	0	0	0	FALSE
AATBC	0.0481873262670425	0.764145355578351	0	1	0	0	0	0	0	0	FALSE
AATF	-0.258375834460279	0.327733010770709	0	1	0	0	0	0	0	0	FALSE
AATK	0.255475623839261	0.0860653411751367	0	1	0	0	0	0	0	0	FALSE
ABAT	-0.426072520961999	0.0928486345184839	0	1	0	0	0	0	0	0	FALSE
ABCA1	-0.176230523291182	0.644156180404066	0	1	0	0	0	0	0	0	FALSE
ABCA11P	-0.0946968293203625	0.0869480042132961	0	1	0	0	0	0	0	0	FALSE
ABCA12	-0.19697324712588	0.444964283657724	0	1	0	0	0	0	0	0	FALSE
ABCA13	-0.0381593896370975	0.748926451491743	0	1	0	0	0	0	0	0	FALSE
ABCA17P	-0.0276834094080898	0.715857094696223	0	1	0	0	0	0	0	0	FALSE
ABCA2	-0.210222708082611	0.318736889920961	0	1	0	0	0	0	0	0	FALSE
ABCA3	-0.0352424500546942	0.57657573650887	0	1	0	0	0	0	0	0	FALSE
ABCA4	0.222864182581162	0.0574525250744642	0	1	0	0	0	0	0	0	FALSE
ABCA5	-0.17631710469966	0.0486693316934005	0	1	0	0	0	0	0	0	FALSE
ABCA6	-0.0255131629889664	0.80315351327642	0	1	0	0	0	0	0	0	FALSE
ABCA7	-0.115837354893408	0.0553495375867626	0	1	0	0	0	0	0	0	FALSE
ABCA8	0.332200428673942	0.0616167931590834	0	1	0	0	0	0	0	0	FALSE
ABCA9	0.203471023691221	0.14081429578425	0	1	0	0	0	0	0	0	FALSE
ABCB1	0.0991052269153947	0.194554958535533	0	1	0	0	0	0	0	0	FALSE
ABCB10	-0.185312978627942	0.550448647323932	0	1	0	0	0	0	0	0	FALSE
ABCB11	-0.112394943263104	0.727856661497137	0	1	0	0	0	0	0	0	FALSE
ABCB4	-0.159158025094341	0.441299635782519	0	1	0	0	0	0	0	0	FALSE
ABCB4; ABCB1	0.266313166683399	0.00163302322723302	0	1	0	0	0	0	0	0	FALSE
ABCB5	-0.083304747878638	0.693348167774678	0	1	0	0	0	0	0	0	FALSE
ABCB6	-0.397158394074292	0.118889006974344	0	1	0	0	0	0	0	0	FALSE
ABCB7	0.157078699662724	0.572012832114968	0	1	0	0	0	0	0	0	FALSE
ABCB8	0.00380612431712783	0.987108701283656	0	1	0	0	0	0	0	0	FALSE
ABCB8; ASIC3	-0.0225395654698133	0.938088729211912	0	1	0	0	0	0	0	0	FALSE
ABCB9	0.0654313425355335	0.316598598656016	0	1	0	0	0	0	0	0	FALSE
ABCC1	0.207805586653815	0.0945870846778178	0	1	0	0	0	0	0	0	FALSE
ABCC10	0.28835474112313	0.24498127701555	0	1	0	0	0	0	0	0	FALSE
ABCC11	0.556639971743256	0.00444838571524331	0	1	0	0	0	0	0	0	FALSE
ABCC12	-0.0903201746671378	0.298875775159164	0	1	0	0	0	0	0	0	FALSE
ABCC13	-0.424733003680064	0.0577176328377622	0	1	0	0	0	0	0	0	FALSE
ABCC2	-0.195037721827471	0.508820625229681	0	1	0	0	0	0	0	0	FALSE
ABCC3	0.494670014096131	0.116354231010076	0	1	0	0	0	0	0	0	FALSE
ABCC4	-0.0339832767297974	0.566451873267657	0	1	0	0	0	0	0	0	FALSE
ABCC5	-0.178475142603942	0.188884059656991	0	1	0	0	0	0	0	0	FALSE
ABCC6	-0.172551475283194	0.520768597174139	0	1	0	0	0	0	0	0	FALSE
