from	to	confidence	Tf_Regulation	PPI_Annotation	Direction_PPI	Score_PPI	Cleaned_PPI_annotation
A2M	RELA		0	expression regulated by	<-	1	GErel
ACTA1	HIF1A		0	predicted	-	0.64	predicted
ALDOB	HIF1A		0	GErel: expression by	<-	1	GErel
AMPH	RPS27A		0	complex; input	-	1	PPrel
AMPH	UBC		0	complex; input	-	1	PPrel
ANGPT2	HIF1A		0	GErel: expression by	<-	1	GErel
ANGPT4	HIF1A		0	GErel: expression by	<-	1	GErel
ANGPTL4	HIF1A		0	predicted	-	0.64	predicted
BCL2L1	MYC		0	predicted	-	0.54	predicted
BCL2L1	RELA		0	GErel: expression by; expression regulated by	<-	1	GErel
BDNF	CREB1		0	GErel: expression by	<-	1	GErel
CAMK2A	CREB1		0	PPrel: activation; PPrel: activation, phosphorylation; activate	->	1	PPrel
CARD9	MAPK11		0	PPrel: activation	->	1	PPrel
CARD9	RELA		0	PPrel: activation, indirect effect	->	1	PPrel
CCL11	RELA		0	predicted	-	0.54	predicted
CCL19	RELA		0	predicted	-	0.54	predicted
CCL2	RELA		0	GErel: expression by; PPrel: activated by; expression regulated by	<-	1	GErel
CCL2	SMAD3		0	expression regulated by	<-	1	GErel
CCL24	RELA		0	predicted	-	0.54	predicted
CD40LG	MAPK11		0	activate	->	1	PPrel
CD40LG	RELA		0	activate; expression regulated by; inhibit	<-	1	GErel
CDC20	RPS27A		0	catalyze; complex; input	->	1	PPrel
CDC20	UBC		0	catalyze; complex; input	->	1	PPrel
CDC26	RELA		0	reaction	-	1	ECrel
CDC26	RPS27A		0	catalyze; complex; input	->	1	PPrel
CDC26	UBC		0	catalyze; complex; input	->	1	PPrel
CDR2	MYC		0	predicted	-	0.77	predicted
CGN	RPS27A		0	complex; input	-	1	PPrel
CGN	UBC		0	complex; input	-	1	PPrel
CHMP4B	RPS27A		0	activate; complex; input	->	1	PPrel
CHMP4B	UBC		0	activate; complex; input	->	1	PPrel
CPNE1	RELA		0	predicted	-	0.64	predicted
CREB1	BDNF	A	1			0	other
CREB1	CRH		0	GErel: expression	->	1	GErel
CREB1	CYP17A1	A	1	GErel: expression	->	1	GErel
CREB1	DCC		0	predicted	-	0.64	predicted
CREB1	ETV3	A	1	expression regulates	->	1	GErel
CREB1	G6PC2		0	GErel: expression	->	1	GErel
CREB1	HIF1A		0	reaction	-	1	ECrel
CREB1	ID1		0	predicted	-	0.64	predicted
CREB1	ID2		0	expression regulates	->	1	GErel
CREB1	IL2	A	1	expression regulates	->	1	GErel
CREB1	MAP3K1		0	activated by	<-	1	PPrel
CREB1	MAPK11		0	PPrel: activated, indirect effect; activated by	<-	1	PPrel
CREB1	MYC		0	activate; inhibited by	|->	1	PPrel
CREB1	NFATC2		0	predicted	-	0.64	predicted
CREB1	NOS2		0	predicted	-	0.54	predicted
CREB1	NOTCH2		0	complex; input	-	1	PPrel
CREB1	NPAS2		0	reaction	-	1	ECrel
CREB1	NPC1		0	expression regulates	->	1	GErel
CREB1	NR4A3	A	1			0	other
CREB1	NR5A1		0	expression regulates	->	1	GErel
CREB1	PLAT	A	-1	expression regulates	->	1	GErel
CREB1	RUNX1		0	reaction	-	1	ECrel
CREB1	SMAD3		0	reaction	-	1	ECrel
CREB1	VEGFC		0	GErel: expression	->	1	GErel
CREB1	UGT8	A	1	expression regulates	->	1	GErel
CREB1	TINAGL1		0	expression regulates	->	1	GErel
CSF1	MYC		0	expression regulated by	<-	1	GErel
CSF1	RELA		0	predicted	-	0.54	predicted
CXXC5	SMAD3		0	predicted	-	0.64	predicted
DCN	MYC		0	expression regulated by	<-	1	GErel
DDOST	RPS27A		0	complex; input	-	1	PPrel
DNAJC2	MYC		0	expression regulated by	<-	1	GErel
DNAJC6	RPS27A		0	complex; input	-	1	PPrel
DNAJC6	UBC		0	complex; input	-	1	PPrel
DSCAM	MAPK11		0	catalyze	->	1	PPrel
DUSP5	MAPK11		0	PPrel: inhibition, dephosphorylation; inhibite	-|	1	PPrel
EEF1A1	RPS27A		0	catalyzed by; complex; input	<-	1	PPrel
EEF1D	RELA		0	predicted	-	0.64	predicted
EPO	HIF1A		0	GErel: expression by; expression regulated by	<-	1	GErel
EPO	SMAD3		0	expression regulated by	<-	1	GErel
ETV3	MYC		0	predicted	-	0.54	predicted
ETV4	MYC		0	expression regulated by	<-	1	GErel
FBXL20	RPS27A		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
FBXL20	UBC		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
FBXL7	RPS27A		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
FBXL7	UBC		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
FBXO10	RPS27A		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
FBXO10	UBC		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
FBXO15	RPS27A		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
FBXO15	UBC		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
FGF17	RPS27A		0	catalyze; complex; input	->	1	PPrel
FGF17	UBC		0	catalyze; complex; input	->	1	PPrel
FLI1	SMAD3		0	predicted	-	0.64	predicted
FOXH1	SMAD3		0	activate; complex; inhibit; inhibited by; input	|-	1	PPrel
FOXP3	SMAD3		0	GErel: expression by	<-	1	GErel
GHR	IL2		0	PPrel: activated by	<-	1	PPrel
GNAI1	MAPK11		0	PPrel: activation; PPrel: activation, phosphorylation, indirect effect	->	1	PPrel
GNB5	MAPK11		0	PPrel: activation	->	1	PPrel
GPR65	SMAD3		0	predicted	-	0.54	predicted
H2AFX	RPS27A		0	catalyze; input	->	1	PPrel
H2AFX	UBC		0	catalyze; input	->	1	PPrel
HES5	MYC		0	GErel: expression	->	1	GErel
HIF1A	ABCG2	A	1			0	other
HIF1A	ANGPT2	A	1			0	other
HIF1A	APLN	A	1			0	other
HIF1A	BCL2L1	A	1			0	other
HIF1A	CCL2	A	1			0	other
HIF1A	CEACAM5	A	1			0	other
HIF1A	EPO	A	1			0	other
HIF1A	ID2	A	1			0	other
HIF1A	LGALS1	A	1			0	other
HIF1A	MYC		0	predicted	-	0.97	predicted
HIF1A	NDRG2		0	predicted	-	0.64	predicted
HIF1A	NOS2	A	1	GErel: expression; expression regulates	->	1	GErel
HIF1A	NPAS2		0	reaction	-	1	ECrel
HIF1A	NR4A3	A	1			0	other
HIF1A	NTN1	A	1			0	other
HIF1A	PSMB3		0	catalyzed by	<-	1	PPrel
HIF1A	RELA		0	GErel: expression by	<-	1	GErel
HIF1A	RORC		0	catalyzed by	<-	1	PPrel
HIF1A	RPS27A		0	catalyze; complex; input	->	1	PPrel
HIF1A	RRAS2		0	PPrel: activated, indirect effect	<-	1	PPrel
HIF1A	SIRT6		0	PPrel: inhibited by	|-	1	PPrel
HIF1A	SMAD3		0	complex; input	-	1	PPrel
HIF1A	SREBF1		0	expression regulated by	<-	1	GErel
HIF1A	UBC		0	catalyze; complex; input	->	1	PPrel
HIF1A	UBE2D1		0	catalyze; input	->	1	PPrel
HIF1A	VEGFC		0	GErel: expression	->	1	GErel
HIST1H2BB	RPS27A		0	complex; input	-	1	PPrel
HIST1H2BB	UBC		0	complex; input	-	1	PPrel
HIVEP3	RPS27A		0	catalyze; input	->	1	PPrel
HIVEP3	UBC		0	catalyze; input	->	1	PPrel
HOXA13	SMAD3		0	predicted	-	0.54	predicted
HSPA4	RELA		0	predicted	-	0.77	predicted
HSPB2	MAPK11		0	PPrel: activated by, phosphorylation	<-	1	PPrel
ID1	MYC		0	expression regulated by	<-	1	GErel
IFNA17	RELA		0	GErel: expression by; PPrel: activated by	<-	1	GErel
IFNA2	RELA		0	GErel: expression by; PPrel: activated by	<-	1	GErel
IL12RB2	IL2		0	PPrel: activated by; reaction	<-	1	ECrel
IL12RB2	RELA		0	GErel: expression by	<-	1	GErel
IL2	IL2RB		0	PPrel: activation; complex; inhibited by; input	|->	1	PPrel
