Gene	logFC	P.Value	Promoter	Enhancer	Methylation_score	nes	pval	Eigen_centrality	Page_rank	TF	Cluster
A1BG	-1.04044172518295	0.0958546981052904	0	0	0	0	1	0	0	FALSE	999
A1CF	-0.074289803699533	0.850985098276587	0	0	0	0	1	0	0	FALSE	999
A2BP1	0.53637731976118	0.35246929721739	0	0	0	0	1	0	0	FALSE	999
A2LD1	-1.14889106331342	0.124288515746177	0	0	0	0	1	0	0	FALSE	999
A2M	-2.23949252453964	0.00722568137025519	0.136290322580645	0.00248138957816377	0.138771712158809	0	1	0.0602676262757019	0.00111106670391819	FALSE	1
A2ML1	0.159838987719378	0.846337179310587	0.114130434782609	0.00334448160535117	0.11747491638796	0	1	0	0	FALSE	999
A4GALT	0.550800454119099	0.729131666778272	0	0	0	0	1	0	0	FALSE	999
A4GNT	-1.40694917072926	0.179192369783983	0	0	0	0	1	0	0	FALSE	999
AAA1	-0.074289803699533	0.572952540593711	0	0	0	0	1	0	0	FALSE	999
AAAS	-0.0576699527881059	0.814604678364215	0.125	0.0857117809571827	0.210711780957183	0	1	0	0	FALSE	999
AACS	-0.199340835262504	0.515694003399542	0.277777777777778	0.0833333333333333	0.361111111111111	0	1	0	0	FALSE	999
AACSL	-0.719700181357191	0.00960260041873293	0	0	0	0	1	0	0	FALSE	999
AADAC	-0.0742898036995356	0.642366104889926	0.000666222518321119	0.0355293440736479	0.036195566591969	0	1	0	0	FALSE	999
AADACL2	-0.475039047745612	0.370047249408026	0	0	0	0	1	0	0	FALSE	999
AADACL3	-0.0742898036995356	0.832670105716313	0.0526315789473684	0	0.0526315789473684	0	1	0	0	FALSE	999
AADACL4	-0.074289803699533	0.782092130732161	0	0.0262784090909091	0.0262784090909091	0	1	0	0	FALSE	999
AADAT	2.45652689346267	0.0805594356979271	0.0178571428571429	0	0.0178571428571429	0	1	0	0	FALSE	999
AAGAB	0.0516349204720017	0.75171139897087	0.0263157894736842	0.0512820512820513	0.0775978407557355	0	1	0	0	FALSE	999
AAK1	-0.262187807421896	0.426281880429001	0.25	0	0.25	0	1	0	0	FALSE	999
AAMP	0.0203621585143035	0.945543299287663	0.0280373831775701	0.0764421105130286	0.104479493690599	0	1	0	0	FALSE	999
AANAT	0.786044485190117	0.310352769055505	0.0540540540540541	0.0713333333333333	0.125387387387387	0	1	0	0	FALSE	999
AARS	-0.276707657478316	0.334730733361411	0.109090909090909	0.0562126732244747	0.165303582315384	0	1	0	0	FALSE	999
